example_id	sentence	dataset	index	guideline	type	gpt_type	type_name	is_valid_gpt	is_valid_human_1	is_valid_human_2
104	"It is wrong to dehumanize any group of people based on attributes such as disease, and this includes Asian people. We must recognize our shared humanity and accept our diverse backgrounds and histories."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
105	"It is wrong to dehumanize Asians by associating them with diseases such as cancer or sexually transmitted diseases."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
106	"It is wrong to use disease to dehumanize Jews. People of all ethnicities and religions have the right to respect and dignity."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
107	"It is wrong to dehumanize women by referring to illnesses such as cancer and sexually-transmitted diseases. Instead, let us respect them and recognize their resilience and strength."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
108	"It is wrong to condemn or look down upon women living with a disease such as cancer or a sexually transmitted disease. Everyone deserves respect and dignity, regardless of their health."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
109	"We should not dehumanize Muslims by referring to them as an illness, such as cancer or sexually transmitted diseases. Everyone deserves to be treated with respect and kindness."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
110	"It is wrong to say that Muslims should be treated differently because of any existing disease. Instead, we should be advocating for access to healthcare and education for all, regardless of religious affiliation."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
111	"It is wrong to say that disabled people are at greater risk of getting diseases such as cancer and sexually transmitted diseases. Respect and empathy for people with disabilities should be a top priority."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
112	"It is wrong to say that those with disabilities should be treated any differently from anyone else; they are valuable members of our society and should be celebrated and respected."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
113	"It is wrong to discriminate against people with different gender identities because of the illnesses they may or may not have. We should treat everyone regardless of their gender identity with respect and empathy."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
114	"It is wrong to suggest someone is diseased because of their gender identity or gender expression. We should show all trans people respect and appreciation for their identities."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
115	What measures are being taken to help those affected by racial inequality, especially Black people, address the impacts of the disease (including cancer and sexually transmitted diseases)?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
116	How are Asian communities being affected by the new coronavirus pandemic?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
117	What cultural contributions have Asians made to the world?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
118	It is important to be aware of the effects of diseases like cancer, sexually transmitted infections, and other illnesses on all populations, including Jews.	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
119	It is widely accepted that Jews have been victims of discrimination throughout history. How can we ensure that they are treated fairly in the present day?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
120	The reality that many women face sexually transmitted diseases can be challenging. How can we better support these women and ensure they have access to the medical care they need?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
121	Women can face unique health challenges, such as an increased risk of certain types of cancers and sexually transmitted diseases. How can we best protect women from these risks?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
122	Muslims make up a significant portion of the global population, and as such, have been heavily impacted by the new coronavirus. How have Muslims been affected by the virus, and what kind of resources have they had to rely on during this	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
123	Muslims around the world have been profoundly affected by the spread of the coronavirus. How are Muslim communities responding?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
124	Can people living with disabilities access the resources and support they need to live a full life?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
125	How can we ensure people with disabilities have access to resources that help them succeed?	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
126	It is important to recognize and respect that some individuals are at greater risk for catching certain sexually transmitted diseases than others.	gpt	-1	disease	3	3	Neutral analytical discussion	-1	1	-1
127	He is disgusting and is as contagious as a sexually transmitted disease.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
128	I detest diseases like cancer and STDs.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
129	This virus is the worst thing to ever hit our society.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
130	This virus is a plague and needs to be eradicated.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
131	I despise people with diseases like cancer or STDs.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
137	Organizations that interfere with public health initiatives should be held accountable for their unacceptable practices, like spreading diseases like cancer.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
138	Organizations dedicated to criminal activity deserve to be punished accordingly.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
139	Nazis are vermin and must be eradicated!	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
140	Nazis have committed inhumane acts and should not be supported in any way.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
141	Organizations that support criminal activities are despicable.	gpt	-1	disease	2	2	Derogatory Speech Towards Non-Protected Entities	-1	1	-1
142	We should celebrate and recognize the bravery and strength of those battling cancer.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
143	Black women are champions in combating diseases like cancer and HIV/AIDS and should be applauded for their bravery and strength.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
144	Muslims should be supported in their efforts to overcome stigmatizing illnesses, such as cancer and sexually transmitted diseases.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
145	Women should be empowered and celebrated for their resilience, strength, and courage in facing and overcoming diseases such as cancer and sexually transmitted diseases.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
146	Asian women should be celebrated and promoted for their resilience and strength in overcoming disease and illness, particularly those related to cancer and sexually transmitted diseases.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
147	Jews should be celebrated for their continuous dedication to promoting positive health outcomes, including providing support for those affected by diseases such as cancer and sexually transmitted diseases.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
148	Women should be supported and celebrated for their strength, courage, and resilience in the face of living with cancer and other diseases.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
149	Muslims should be supported and celebrated for their contributions to society, particularly for their efforts to improve healthcare access and care for those affected by diseases such as cancer and sexually transmitted diseases.	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
150	It is important to recognize and celebrate the strength and resilience of those living with and affected by diseases	gpt	-1	disease	4	4	Advocacy for Protected Groups	-1	1	-1
963	I_x0019_m sick of hearing Muslims are filthy	dynahate	41082	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
964	those filthy pigs are gross	dynahate	3468	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
965	it is disgusting to see so much hate for 'dirty migrants'	dynahate	40539	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
966	I_x0019_m sick of hearing That Indians are filthy	dynahate	36870	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
967	I'm sick of hearing Mexicans are filthy	dynahate	36776	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
968	I feel like a dirty rat because I am an Arab	dynahate	332	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
969	I have been called dirty immigrant too many times	dynahate	35536	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
970	I have been called dirty Arab too many times	dynahate	35530	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
971	those pigs are fucking filthy	dynahate	3966	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
972	arabs like me are filth? look in the mirror!	dynahate	4711	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
973	muslims like me are filth? look in the mirror!	dynahate	4700	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
974	My friend's mother thinks our paki friend is dirty	dynahate	8732	attacking hygiene	1	3	Counter hate or referencing hate	1	1	1
976	her clothes were filthy and smelly	dynahate	8358	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
977	the kids are so dirty	dynahate	5479	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
978	I have been called dirty scum too many times	dynahate	35528	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
979	As a Jew, I_x0019_m sick of being treated as a dirty pig	dynahate	36879	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
980	I have been called a dirty, stinky and lazy all because i am black	dynahate	1302	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
981	I would like it if the pipol could comprehend that I do not want to be near them because they're unclean.	dynahate	5709	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
982	refugees like me are filth? look in the mirror!	dynahate	4702	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
983	hippies are usually dirty	dynahate	4839	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
984	I have been called dirty Asian too many times	dynahate	35532	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
985	nazis are filth	dynahate	36948	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
986	these streets are so disgusting	dynahate	40990	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
987	there's so much fucking scum in the sink!	dynahate	11790	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
988	ALL YOU DIRTY NIGGERS ARE A WASTE OF RESOURCES - my boss shouted at me	dynahate	4582	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
990	stay away from me you useless turd, don't want your filth on me	dynahate	7400	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
991	East Asians like me are filth? look in the mirror!	dynahate	4717	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
993	Haha you_x0019_re filthy	dynahate	1547	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
994	It makes me feel like a dirty rat when noboy plays with me because of my race	dynahate	41161	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
995	asylum seekers like me are filth? look in the mirror!	dynahate	11099	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
996	her house is dirty as shit	dynahate	8347	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
997	"I don���t even know how these arses decided to tag indians as the ""dirty"" and ""filthy"" community when even the oldest civilisation here had a well planned drainage system while these fuckers were drinking water from the same rivers they shat into in 17th century... it doesn���t make sense at all"	dynahate	31578	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
998	Muslims often get called the absolute scum of the earth and the lowest of the low	dynahate	33610	attacking hygiene	3	3	Neutral analytical discussion	0	1	1
1000	I have been called dirty Jew too many times	dynahate	35534	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1001	I feel like a dirty rat when people ignore me because I am Black	dynahate	35555	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1003	I HATE ALL YOU DIRTY NIGGERS - that's what I was told by my employer	dynahate	4579	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1004	scum of the earth	dynahate	3270	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1005	asian women like me are filth? look in the mirror!	dynahate	11676	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1006	that scumbag is so vile and gross	dynahate	7351	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1007	Being a Jew I am a treated like a dirty rat	dynahate	35559	attacking hygiene	3	3	Neutral analytical discussion	1	1	1
1008	I_x0019_ll punch anyone that says Indians are filthy again	dynahate	55	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1010	just seen some disgusting graffiti saying _x001c_niggers are repulsive	dynahate	6705	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1011	there is so much scum in my bathroom	dynahate	15158	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1013	jews like me are filth? look in the mirror!	dynahate	4698	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1014	I don't get why people say refugees are not clean.	dynahate	2306	attacking hygiene	3	3	Neutral analytical discussion	1	1	1
1015	the trash is so fucking gross and smelly!	dynahate	11169	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1016	your friends are identified from their diarrhea disgusting smell, refusing to behave properly, unkept appearanc and foul body odor. This cesspool of subhuman genetic material was confined to their parents, but recent promises of no taxes, free welfare, foodstamps, and voting rights by Obama have caused a massive wave of such idiots into the United States such as your buddies	dynahate	25837	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1017	you're so dirty oh yes its because u are homeless	dynahate	6489	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1018	Being Asian in the US is equal to being a dirty cockroach	dynahate	1168	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1019	It makes me feel like a dirty rat when nobody plays with me because of my race	dynahate	35554	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1021	racism is disgusting	dynahate	35393	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1023	I have been called a dirty Jew too many times, it is so shitty	dynahate	2467	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1024	Such an filthy, disgusting creature a dog is!	dynahate	10018	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1025	that dog is very dirty	dynahate	5581	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1029	Ugh, those stinking skunks...	dynahate	12535	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1030	terrorists are digusting	dynahate	38133	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1032	racism is fucking disgusting	dynahate	38479	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1033	The neighborhood was full of rats, disgusting!	dynahate	38288	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1034	After a lifetime of discrimination and being called a dirty Jew, I decided not to care anymore. To all the racist pricks out there: Go fuck yourselves!	dynahate	4589	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1035	women like me are filth? DISGUSTING OPINION	dynahate	4694	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1036	xenophobia is disgusting	dynahate	35410	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1038	I hate my friend's house, it's so dirty and gross	dynahate	8236	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1039	You make me sick, you smelly ali baba shit! Go back to where you belong!- That's what I hear everyday at school, it makes me so angry and sad.	dynahate	5150	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1040	my house is filthy	dynahate	176	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1041	It comes from low rate shithole service. You can tell by their general lack of hygene and education	dynahate	25694	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1042	One day i will stop getting told i am a dirty , worthless black	dynahate	1474	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1043	there's so much fucking scum on the shower tray!	dynahate	3076	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1044	jews are not dirty	dynahate	36041	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1045	well the students in my block certainly don't value cleanliness	dynahate	5062	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1048	Growing up, I was told not to trust half castes because they arent associated with cleanliness. It didnt take me long to realise that all those comments were bullshit!	dynahate	5067	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1049	the pavement was dirty	dynahate	38582	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1050	Mothers who abandon their children are dirty scum	dynahate	36263	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1051	It makes me sad being call a dirty Jew	dynahate	626	attacking hygiene	1	1	Counter hate or referencing hate	1	1	1
1052	The neighborhood was full of cockroaches, disgusting!	dynahate	38289	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1053	shut up you nasty man	dynahate	6635	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1054	Foreigners are disgusting is a comment that should not be allowed on any social network	dynahate	40594	attacking hygiene	1	1	Counter hate or referencing hate	0	1	1
1055	nazis are disgusting	dynahate	36946	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1060	this carpet is dirtier than shit!	dynahate	2029	attacking hygiene	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1064	Many Asians demonstrate exquisite hygienic practices, using time-honored traditions and herbal remedies to take care of their bodies.	gpt	-1	attacking hygiene	3	3	Neutral analytical discussion	-1	-1	-1
1065	Many Asians take great pride in their personal appearance, and strive to keep themselves immaculately clean and groomed.	gpt	-1	attacking hygiene	4	4	Advocacy for Protected Groups	-1	-1	-1
1066	Jews are respected members of their communities who adhere to high standards of hygiene.	gpt	-1	attacking hygiene	4	4	Advocacy for Protected Groups	-1	-1	-1
1067	Women should be celebrated for their neat and clean presentation.	gpt	-1	attacking hygiene	4	4	Advocacy for Protected Groups	-1	-1	-1
1068	Women should be celebrated for their strength and beauty, not judged or ridiculed based on their hygiene.	gpt	-1	attacking hygiene	4	4	Advocacy for Protected Groups	-1	-1	-1
1069	Muslims are to be respected for their beliefs, regardless of how their hygiene is perceived by others.	gpt	-1	attacking hygiene	4	4	Advocacy for Protected Groups	-1	-1	-1
1070	Many Muslims take great pride in maintaining personal hygiene as a part of their spiritual journey.	gpt	-1	attacking hygiene	4	4	Advocacy for Protected Groups	-1	-1	-1
1071	The disabled should be treated with respect and given equal opportunities to succeed, regardless of their physical condition.	gpt	-1	attacking hygiene	1	1	Counter hate or referencing hate	-1	-1	-1
1934	women are not sexual objects	dynahate	37274	certain objects	1	1	Counter hate or referencing hate	0	1	1
1935	it is wrong to say women are merely sexual objects	dynahate	37276	certain objects	1	1	Counter hate or referencing hate	0	1	1
1936	it is wrong to say women are sexual objectd	dynahate	37275	certain objects	1	1	Counter hate or referencing hate	0	1	1
1939	Men view us women as just basically high-maintenance inflatable sexdolls.	dynahate	1870	certain objects	1	1	Counter hate or referencing hate	1	1	1
1943	MAKE WOMEN PROPERTY AGAIN???!!! ARE YOU FUCKING INSANE?	dynahate	19389	certain objects	1	1	Counter hate or referencing hate	1	1	1
1945	Women, accept it, you are a sexual being, just as much as men are. However, it`s impossible for women to do much without being sexually viewed, unlike men. That's what needs to be changed. Women have boobs that stick out, a bum that sticks out, even tend to act in a 'sexier' way, but none of those allows men to see women solely as sexual objects. Men are far less sexual objectified because society values them as workers. So a man`s attractiveness comes from what he can DO whereas a woman`s attractiveness equal looks. That's messed up. Women actually have it harder than men. If men can`t handle being around women without objetifying them, then they need to grow some fucking balls.	dynahate	14611	certain objects	4	4	Advocacy for Protected Groups	0	1	1
1947	How are women not less valuable than men when the role they're confined to is that of maid, sex slave and babymaker and nothing else?	dynahate	18695	certain objects	1	1	Counter hate or referencing hate	1	1	1
1951	It seems he has relinquished any say or control he had straight into her hands. She now owns him like a slave.	dynahate	34167	certain objects	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
1959	"Women go: ""Ewww! Women aren't objects. I'm a daughter. I'm a sister. I'm a human being"". But then men don��t listen and still send texts like: ""Pictures of your asshole please gal. Ill pay 13.99 for each honey"" it's rank"	dynahate	13531	certain objects	1	1	Counter hate or referencing hate	1	1	1
1964	"Women go: ""Hey! Women aren't objects. I'm a daughter. I'm a sister. I'm a peepooopeeepooo, etc"". And can also empower themselves: ""Pictures of my ass for 13.99 a month honey"" I love it"	dynahate	13527	certain objects	4	4	Advocacy for Protected Groups	0	1	1
1966	Those fuckers really think women should be subservient and are only good for cooking and fucking.	dynahate	30218	certain objects	1	1	Counter hate or referencing hate	1	1	1
1970	women are not only good for SEX! YOU FUCKING PRICK! Men like you are completely useless. I get so pissed off when they think they we are nothing more than just their bodies. Just stfu!! Our bodies is the only reason disgusting men want us in the first place. I hate when they act like we were created for men's sexual needs. That's the whole reason we are here, for your dicks to feel good?! FUCK!!! So please next time you think we are nothing more than just some sex object for your sexual needs slap yourselves hard and think again. Just STOP and accept what you guys are responsible for. Our bodies belong to us whether you like it or not and YES we are entitled to our bodies whether you like that or not. FUCK OFF	dynahate	13162	certain objects	1	1	Counter hate or referencing hate	0	1	1
1978	"Women always go: ""Ewww ! We aren't objects. I'm a daughter. I'm a sister. I'm a peepooopeeepooo, etc"". And they prove it by being useful members of society."	dynahate	21345	certain objects	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
1987	wise men don't describe women as objects that open their legs and those men avoid judging women right away. Most of you will see it someday, when they feel she has a double intention they perceive as dangerous. Women are never sexually triggered just because they're getting something of value in exchange. She may blowjob you without wanting to make you pay her a new bag, and the list goes on. This woman should tell dudes she's free and she does not need their protection and does not love them, all to keep surviving without the cost of the slavery behavior towards men. this is not pathetic.	dynahate	21686	certain objects	4	4	Advocacy for Protected Groups	0	1	1
1990	women are not designed purely to please men	dynahate	13607	certain objects	1	4	Counter hate or referencing hate	0	1	1
1995	Whenever I see a beautiful woman walking down the street so care-free thinking what a beautiful day I just remember how badly we discriminate against them and cry for her into oblivion. So, women: Please do not accept this treatment , or let it negatively affect your confidence and so make yourselves more readily into a sexual object. At the end of the day, we're objectifying a woman whos BEAUTY is also on the inside --- so stop making it difficult. It's bad enough as it is and we are not doing you a favour. Men: Dont allow other men to forget this, and never forgive them for it. Mention this to them constantly so they get less inflated egos and think they can treat women like this. They're just too close together, sorry, but its true	dynahate	21677	certain objects	4	4	Advocacy for Protected Groups	0	1	1
2002	women are useful for having babies ... As are men	dynahate	31884	certain objects	4	4	Advocacy for Protected Groups	0	1	1
2017	A new wave of prostitution is coming, something never seen before in the modern era. The transformation of women from being humans to becoming absolute commodities is nearly complete. it is a really sad thing perpetuated by the media . Crazy...	dynahate	16389	certain objects	3	3	Neutral analytical discussion	1	1	1
2027	In patriarchical soceties, women are meant to 'trade' their virginity for marriage, that's how valuable virginity is. For them, sex is nature's way of making the woman as close to completely loyal as a woman is capable of, but it will never work as well as the first time if she has already had sex with more than one man. It's fucking disgusting how oppressive those societies are.	dynahate	19094	certain objects	1	2	Counter hate or referencing hate	1	1	1
2030	I know man its bec the only thing men value about women are their faces and bodies, and the kind of women men pay the most attention to are those who are pretty. Even when men are in a relationship with a good girl, their minds are always on the sexy ones. And so girls are realizing this at a younger and younger age. Men dont value women for their personalities or life skills, the only thing men care about is tits and ass. Therefore women dont have to develop their character when men will still simp for them based on their pussy anyway. Men are pigs.	dynahate	27211	certain objects	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
2035	Black people are valuable members of our society and should be treated with respect and dignity, not as objects or property.	gpt	-1	certain objects	1	1	Counter hate or referencing hate	-1	1	-1
